,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2011-02-11,3.982,3.5311,2.9493,4.0059,3.388,2.437,2.09,3.219
2011-02-14,4.002,3.5469,2.9623,4.0308,3.402,2.455,2.099,3.235
2011-02-15,4.002,3.5457,2.9588,4.0303,3.405,2.457,2.0986,3.231
2011-02-16,4.013,3.5551,2.9683,4.0369,3.415,2.471,2.1042,3.245
2011-02-17,4.014,3.5548,2.9739,4.0362,3.417,2.473,2.106,3.246
2011-02-18,4.002,3.5468,2.965,4.0269,3.407,2.46,2.1002,3.235
2011-02-21,4.02,3.5628,2.9779,4.0361,3.427,2.473,2.1082,3.254
2011-02-22,3.995,3.5469,2.9565,4.0105,3.414,2.442,2.0965,3.233
2011-02-23,4.002,3.5529,2.9611,4.015,3.42,2.44,2.1004,3.237
2011-02-24,4.006,3.5534,2.9637,4.0174,3.423,2.442,2.1026,3.239
2011-02-25,4.005,3.5534,2.9676,4.0222,3.424,2.443,2.103,3.238
2011-02-28,4.019,3.5663,2.9752,4.0332,3.434,2.457,2.1091,3.253
2011-03-01,4.021,3.5672,2.9762,4.0358,3.436,2.459,2.1109,3.255
2011-03-02,4.017,3.5644,2.9757,4.0279,3.431,2.456,2.111,3.248
2011-03-03,4.005,3.5534,2.965,4.0226,3.417,2.444,2.1018,3.239
2011-03-04,4.013,3.5628,2.9706,4.0341,3.424,2.454,2.1041,3.248
2011-03-07,4.025,3.5743,2.9763,4.0508,3.432,2.462,2.1107,3.259
2011-03-08,4.026,3.5738,2.9791,4.0482,3.437,2.461,2.1124,3.26
2011-03-09,4.03,3.5743,2.9795,4.0508,3.438,2.465,2.1122,3.267
2011-03-10,4.019,3.5659,2.9775,4.0373,3.429,2.452,2.1063,3.265
2011-03-11,4.016,3.5649,2.9764,4.0267,3.425,2.442,2.105,3.258
2011-03-14,4.019,3.5749,2.983,4.0364,3.434,2.45,2.1074,3.265
2011-03-15,4.001,3.5636,2.9742,4.0187,3.426,2.434,2.1028,3.252
2011-03-16,4.015,3.5727,2.978,4.0262,3.436,2.445,2.1079,3.262
2011-03-17,3.999,3.5615,2.9688,4.0153,3.423,2.431,2.1024,3.246
2011-03-18,4.002,3.5622,2.9736,4.0202,3.426,2.434,2.1066,3.25
2011-03-21,3.998,3.5562,2.9701,4.0141,3.421,2.429,2.1003,3.243
2011-03-22,3.996,3.5569,2.967,4.0182,3.423,2.442,2.1001,3.247
2011-03-23,4.01,3.5674,2.9765,4.0297,3.433,2.45,2.1037,3.258
2011-03-24,4.007,3.5647,2.9761,4.0279,3.436,2.453,2.1062,3.255
2011-03-25,4.018,3.5717,2.976,4.0368,3.441,2.458,2.1078,3.261
2011-03-28,4.01,3.5689,2.9678,4.0288,3.436,2.447,2.1054,3.25
2011-03-29,3.997,3.5583,2.9545,4.0201,3.422,2.435,2.0945,3.237
2011-03-30,3.995,3.5571,2.9489,4.02,3.417,2.432,2.0919,3.23
2011-03-31,3.985,3.5537,2.9473,4.0143,3.41,2.426,2.0877,3.227
2011-04-01,3.996,3.5625,2.9519,4.0255,3.416,2.433,2.0899,3.238
2011-04-06,3.995,3.561,2.9492,4.0255,3.409,2.434,2.0875,3.24
2011-04-07,4.004,3.5643,2.9523,4.0301,3.412,2.443,2.0905,3.244
2011-04-08,4.015,3.5712,2.9597,4.0386,3.423,2.454,2.0939,3.255
2011-04-11,4.005,3.5615,2.9543,4.0308,3.415,2.448,2.0904,3.243
2011-04-12,4.002,3.5602,2.957,4.0297,3.418,2.445,2.0892,3.241
2011-04-13,4.011,3.5677,2.9637,4.0434,3.427,2.454,2.0925,3.256
2011-04-14,4.005,3.5631,2.9621,4.0358,3.426,2.447,2.0918,3.254
2011-04-15,4.005,3.5612,2.9585,4.0349,3.425,2.443,2.091,3.257
2011-04-18,4.003,3.5623,2.958,4.0368,3.424,2.44,2.0911,3.258
2011-04-19,3.997,3.5532,2.9494,4.0248,3.415,2.427,2.0866,3.245
2011-04-20,4.001,3.5493,2.9557,4.0264,3.418,2.43,2.0902,3.246
2011-04-21,4.005,3.5555,2.9581,4.0346,3.424,2.433,2.091,3.249
2011-04-22,3.999,3.5545,2.9531,4.0304,3.426,2.427,2.0909,3.245
2011-04-25,3.982,3.5423,2.9452,4.0219,3.417,2.42,2.0847,3.239
2011-04-26,3.976,3.5383,2.9375,4.0164,3.408,2.418,2.0784,3.233
2011-04-27,3.969,3.5332,2.9307,4.0141,3.407,2.414,2.0741,3.223
2011-04-28,3.953,3.519,2.9171,3.996,3.385,2.4,2.0654,3.205
2011-04-29,3.961,3.5271,2.9225,4.0037,3.394,2.404,2.0697,3.21
2011-05-03,3.966,3.533,2.9307,4.0133,3.404,2.411,2.0725,3.217
2011-05-04,3.945,3.5154,2.9247,3.9909,3.391,2.398,2.0668,3.199
2011-05-05,3.947,3.5129,2.9293,3.9909,3.391,2.396,2.0667,3.2
2011-05-06,3.95,3.512,2.9311,3.9945,3.394,2.395,2.067,3.204
2011-05-09,3.952,3.5147,2.9331,3.995,3.395,2.399,2.0691,3.21
2011-05-10,3.954,3.5177,2.9333,4.0006,3.396,2.403,2.0713,3.215
2011-05-11,3.952,3.5195,2.9353,3.9996,3.4,2.403,2.0703,3.214
2011-05-12,3.94,3.5134,2.9284,3.9929,3.397,2.398,2.0639,3.204
2011-05-13,3.945,3.5143,2.9321,3.9921,3.394,2.398,2.0658,3.208
2011-05-16,3.939,3.5083,2.9316,3.9826,3.39,2.389,2.0658,3.202
2011-05-17,3.942,3.5108,2.9302,3.9847,3.386,2.391,2.0652,3.202
2011-05-18,3.948,3.5163,2.9323,3.9937,3.391,2.398,2.0662,3.209
2011-05-19,3.946,3.5135,2.9301,3.9931,3.388,2.393,2.064,3.202
2011-05-20,3.947,3.513,2.9267,3.9928,3.385,2.393,2.0631,3.198
2011-05-23,3.922,3.4928,2.9111,3.9712,3.366,2.376,2.0504,3.173
2011-05-24,3.925,3.4909,2.91,3.9721,3.36,2.374,2.0493,3.172
2011-05-25,3.915,3.4834,2.904,3.9615,3.351,2.368,2.0448,3.163
2011-05-26,3.907,3.4775,2.8996,3.9559,3.342,2.367,2.0406,3.161
2011-05-27,3.899,3.4723,2.8933,3.9506,3.331,2.365,2.037,3.15
2011-05-30,3.892,3.4703,2.8905,3.9537,3.331,2.37,2.036,3.148
2011-05-31,3.905,3.4837,2.8982,3.963,3.34,2.379,2.0399,3.159
2011-06-01,3.91,3.4885,2.9023,3.9695,3.349,2.382,2.0424,3.163
2011-06-02,3.898,3.4791,2.895,3.9583,3.337,2.372,2.0375,3.15
2011-06-03,3.909,3.489,2.903,3.9724,3.35,2.381,2.042,3.16
2011-06-07,3.915,3.4922,2.9063,3.9751,3.354,2.381,2.0434,3.165
2011-06-08,3.917,3.492,2.905,3.9749,3.357,2.381,2.0435,3.167
2011-06-09,3.902,3.4766,2.8929,3.9581,3.343,2.369,2.0375,3.152
2011-06-10,3.902,3.4803,2.8939,3.9621,3.346,2.371,2.0373,3.152
2011-06-13,3.9,3.4784,2.8918,3.962,3.343,2.364,2.0369,3.145
2011-06-14,3.912,3.4893,2.8987,3.976,3.353,2.373,2.0419,3.16
2011-06-15,3.908,3.4824,2.8932,3.9678,3.346,2.366,2.0382,3.153
2011-06-16,3.895,3.4725,2.8803,3.9567,3.331,2.356,2.0327,3.138
2011-06-17,3.887,3.4682,2.8745,3.9571,3.327,2.353,2.0295,3.134
2011-06-20,3.876,3.4631,2.8646,3.9498,3.318,2.348,2.0246,3.129
2011-06-21,3.885,3.4729,2.8705,3.9612,3.322,2.356,2.0276,3.14
2011-06-22,3.881,3.4741,2.869,3.9648,3.32,2.357,2.0267,3.139
2011-06-23,3.896,3.4882,2.8797,3.9812,3.332,2.369,2.0329,3.156
2011-06-24,3.917,3.5014,2.895,3.9967,3.347,2.383,2.041,3.174
2011-06-27,3.92,3.505,2.9011,4.0034,3.356,2.383,2.0426,3.18
2011-06-28,3.919,3.5062,2.9034,4.0064,3.356,2.384,2.0423,3.183
2011-06-29,3.911,3.4982,2.8952,3.9963,3.35,2.376,2.0385,3.171
2011-06-30,3.923,3.5082,2.9041,4.0079,3.36,2.387,2.0424,3.184
2011-07-01,3.927,3.5099,2.906,4.0112,3.362,2.39,2.0431,3.187
2011-07-04,3.947,3.527,2.9212,4.0292,3.375,2.403,2.0495,3.205
2011-07-05,3.949,3.5261,2.9235,4.0277,3.377,2.403,2.0507,3.209
2011-07-06,3.952,3.5271,2.9259,4.0259,3.383,2.398,2.0509,3.205
2011-07-07,3.952,3.5275,2.9257,4.025,3.386,2.393,2.0509,3.204
2011-07-08,3.955,3.5287,2.927,4.0252,3.389,2.392,2.0496,3.205
2011-07-11,3.961,3.533,2.9286,4.0316,3.399,2.399,2.053,3.21
2011-07-12,3.951,3.5243,2.9205,4.0194,3.39,2.387,2.049,3.2
2011-07-13,3.966,3.5345,2.9306,4.0334,3.4,2.401,2.0533,3.216
2011-07-14,3.97,3.5373,2.9341,4.0347,3.401,2.4,2.0554,3.22
2011-07-15,3.977,3.5427,2.9397,4.0428,3.406,2.403,2.0582,3.225
2011-07-18,3.974,3.5413,2.9382,4.0432,3.407,2.4,2.0565,3.225
2011-07-19,3.964,3.5327,2.9331,4.0325,3.4,2.39,2.0532,3.22
2011-07-20,3.963,3.5326,2.9331,4.0354,3.399,2.392,2.0525,3.219
2011-07-21,3.953,3.5241,2.9263,4.0281,3.395,2.391,2.0506,3.216
2011-07-22,3.959,3.527,2.9279,4.0332,3.398,2.397,2.0511,3.216
2011-07-25,3.936,3.5038,2.9101,4.0082,3.375,2.366,2.0381,3.186
2011-07-26,3.938,3.5072,2.912,4.0082,3.377,2.363,2.0393,3.184
2011-07-27,3.949,3.5178,2.9196,4.0171,3.392,2.369,2.0431,3.197
2011-07-28,3.949,3.5144,2.9179,4.0115,3.39,2.363,2.0408,3.196
2011-07-29,3.944,3.5097,2.9136,4.0078,3.385,2.358,2.0373,3.197
2011-08-01,3.947,3.5129,2.9172,4.008,3.386,2.361,2.039,3.202
2011-08-02,3.944,3.5077,2.9132,4.005,3.378,2.357,2.0374,3.198
2011-08-03,3.946,3.508,2.9129,4.0096,3.379,2.36,2.039,3.199
2011-08-04,3.945,3.5109,2.9127,4.0145,3.381,2.363,2.042,3.203
2011-08-05,3.93,3.5011,2.9026,4.0032,3.372,2.358,2.0384,3.185
2011-08-08,3.905,3.4788,2.8817,3.9804,3.348,2.336,2.0249,3.152
2011-08-09,3.906,3.4803,2.8806,3.9903,3.348,2.34,2.0254,3.155
2011-08-10,3.917,3.4882,2.8857,4.002,3.357,2.349,2.0307,3.163
2011-08-11,3.929,3.4963,2.896,4.0163,3.37,2.362,2.0363,3.176
2011-08-12,3.934,3.4998,2.8976,4.0154,3.375,2.366,2.0358,3.184
2011-08-15,3.943,3.5076,2.9034,4.0238,3.381,2.374,2.0383,3.199
2011-08-16,3.939,3.5034,2.8955,4.0176,3.374,2.366,2.0351,3.194
2011-08-17,3.938,3.4992,2.8918,4.0127,3.373,2.36,2.0338,3.197
2011-08-18,3.922,3.486,2.8838,3.9966,3.362,2.347,2.0279,3.182
2011-08-19,3.919,3.4795,2.8852,3.9906,3.359,2.343,2.0266,3.176
2011-08-22,3.914,3.466,2.8761,3.9723,3.348,2.329,2.023,3.167
2011-08-23,3.926,3.474,2.8838,3.9841,3.354,2.336,2.0253,3.182
2011-08-24,3.927,3.4733,2.8845,3.9847,3.356,2.337,2.0265,3.183
2011-08-25,3.945,3.4886,2.8931,4.0056,3.365,2.349,2.0331,3.202
2011-08-26,3.947,3.49,2.8947,4.0062,3.37,2.35,2.0333,3.202
2011-08-29,3.937,3.4829,2.8905,3.9946,3.369,2.344,2.0309,3.188
2011-08-30,3.931,3.479,2.8842,3.9926,3.363,2.341,2.0266,3.187
2011-08-31,3.929,3.4793,2.8793,3.991,3.359,2.34,2.0251,3.186
2011-09-01,3.924,3.4768,2.8759,3.9871,3.355,2.333,2.0238,3.179
2011-09-02,3.918,3.4693,2.87,3.982,3.349,2.326,2.0201,3.169
2011-09-05,3.903,3.4495,2.8609,3.9613,3.333,2.309,2.0139,3.149
2011-09-06,3.894,3.4392,2.8572,3.9488,3.324,2.303,2.0116,3.141
2011-09-07,3.909,3.4536,2.8683,3.9637,3.338,2.319,2.0171,3.16
2011-09-08,3.906,3.45,2.863,3.9545,3.335,2.312,2.0137,3.152
2011-09-09,3.902,3.4465,2.8582,3.9491,3.329,2.307,2.0125,3.149
2011-09-13,3.891,3.4387,2.8517,3.9391,3.319,2.301,2.0072,3.143
2011-09-14,3.898,3.4424,2.8565,3.9388,3.323,2.302,2.0079,3.149
2011-09-15,3.899,3.4419,2.8575,3.9399,3.324,2.303,2.0085,3.149
2011-09-16,3.9,3.4433,2.8561,3.9423,3.329,2.305,2.0084,3.148
2011-09-19,3.884,3.4315,2.8475,3.9266,3.319,2.294,2.0038,3.132
2011-09-20,3.886,3.434,2.8463,3.9275,3.32,2.295,2.0039,3.135
2011-09-21,3.906,3.4523,2.8573,3.9503,3.335,2.309,2.0113,3.161
2011-09-22,3.884,3.4345,2.8442,3.9251,3.318,2.292,2.0021,3.138
2011-09-23,3.879,3.4293,2.8382,3.9189,3.31,2.286,1.9997,3.129
2011-09-26,3.859,3.4191,2.8287,3.9,3.299,2.278,1.9952,3.115
2011-09-27,3.862,3.4229,2.8287,3.9069,3.298,2.277,1.9971,3.121
2011-09-28,3.851,3.4172,2.8234,3.9003,3.29,2.269,1.9946,3.113
2011-09-29,3.839,3.406,2.8155,3.8917,3.273,2.263,1.9876,3.099
2011-09-30,3.838,3.4054,2.8167,3.8905,3.273,2.263,1.9869,3.099
2011-10-10,3.831,3.3994,2.8137,3.8789,3.268,2.257,1.9842,3.094
2011-10-11,3.827,3.3932,2.8115,3.8757,3.26,2.254,1.9808,3.092
2011-10-12,3.851,3.4093,2.8237,3.9026,3.278,2.275,1.9881,3.118
2011-10-13,3.858,3.4165,2.8281,3.9084,3.286,2.281,1.9914,3.125
2011-10-14,3.854,3.4136,2.8251,3.9022,3.283,2.28,1.9907,3.122
2011-10-17,3.859,3.4191,2.829,3.9103,3.29,2.289,1.9932,3.128
2011-10-18,3.841,3.4038,2.8199,3.8906,3.272,2.274,1.9868,3.119
2011-10-19,3.835,3.3973,2.8185,3.8864,3.267,2.275,1.9859,3.11
2011-10-20,3.812,3.3772,2.808,3.863,3.253,2.261,1.98,3.09
2011-10-21,3.804,3.3714,2.8014,3.8602,3.241,2.262,1.9783,3.088
2011-10-24,3.817,3.3848,2.8097,3.8803,3.248,2.278,1.9841,3.105
2011-10-25,3.836,3.3984,2.8188,3.8985,3.259,2.29,1.9887,3.124
2011-10-26,3.846,3.4051,2.8263,3.9021,3.265,2.294,1.9894,3.135
2011-10-27,3.845,3.404,2.826,3.9049,3.265,2.296,1.9883,3.136
2011-10-28,3.862,3.4168,2.8316,3.9221,3.275,2.306,1.9929,3.151
2011-10-31,3.861,3.4157,2.8327,3.9212,3.278,2.308,1.9935,3.154
2011-11-01,3.861,3.4171,2.836,3.9256,3.28,2.313,1.9938,3.156
2011-11-02,3.875,3.428,2.8464,3.9392,3.288,2.329,1.9994,3.172
2011-11-03,3.875,3.4304,2.8498,3.936,3.291,2.325,2.0003,3.169
2011-11-04,3.879,3.4324,2.8525,3.9391,3.295,2.326,2.002,3.173
2011-11-07,3.874,3.4263,2.8492,3.9292,3.29,2.319,1.9999,3.167
2011-11-08,3.869,3.4214,2.8457,3.9234,3.284,2.314,1.9963,3.16
2011-11-09,3.878,3.4292,2.852,3.9306,3.292,2.324,2.0011,3.173
2011-11-10,3.868,3.4216,2.8492,3.9181,3.287,2.317,1.9971,3.163
2011-11-11,3.866,3.4198,2.8507,3.9135,3.286,2.315,1.9968,3.165
2011-11-14,3.882,3.4326,2.8591,3.9313,3.3,2.33,2.004,3.18
2011-11-15,3.886,3.4322,2.8615,3.9294,3.303,2.326,2.005,3.18
2011-11-16,3.868,3.4177,2.8494,3.91,3.287,2.308,1.9961,3.16
2011-11-17,3.868,3.4174,2.8485,3.9092,3.286,2.307,1.996,3.158
2011-11-18,3.851,3.4017,2.8389,3.8926,3.27,2.297,1.9888,3.144
2011-11-21,3.849,3.4013,2.8388,3.8893,3.27,2.3,1.99,3.146
2011-11-22,3.85,3.4026,2.8415,3.8907,3.272,2.305,1.9906,3.148
2011-11-23,3.846,3.4029,2.8419,3.8851,3.274,2.303,1.9913,3.145
2011-11-24,3.851,3.4048,2.8449,3.8871,3.275,2.307,1.9934,3.147
2011-11-25,3.849,3.4014,2.8438,3.8834,3.273,2.306,1.9912,3.139
2011-11-28,3.849,3.4002,2.844,3.8879,3.275,2.308,1.9925,3.14
2011-11-29,3.858,3.4062,2.8509,3.8992,3.283,2.317,1.9951,3.151
2011-11-30,3.834,3.3903,2.8367,3.8763,3.262,2.301,1.983,3.126
2011-12-01,3.849,3.4003,2.8479,3.8919,3.273,2.311,1.9888,3.14
2011-12-02,3.838,3.3914,2.8446,3.8838,3.264,2.306,1.9814,3.132
2011-12-05,3.821,3.3766,2.8335,3.8667,3.244,2.291,1.9725,3.113
2011-12-06,3.821,3.3757,2.8322,3.8653,3.243,2.289,1.972,3.112
2011-12-07,3.823,3.3779,2.8349,3.8677,3.246,2.294,1.9728,3.113
2011-12-08,3.82,3.3747,2.839,3.8602,3.245,2.293,1.9734,3.112
2011-12-09,3.816,3.365,2.8325,3.8502,3.236,2.285,1.9701,3.105
2011-12-12,3.805,3.3598,2.8262,3.8411,3.227,2.279,1.9675,3.098
2011-12-13,3.787,3.3473,2.8113,3.8281,3.212,2.265,1.9614,3.083
2011-12-14,3.775,3.3413,2.8052,3.8188,3.204,2.261,1.9582,3.078
2011-12-15,3.76,3.3326,2.7969,3.8083,3.193,2.255,1.9516,3.065
2011-12-16,3.778,3.3444,2.8088,3.8215,3.203,2.271,1.959,3.08
2011-12-19,3.778,3.3436,2.8118,3.8239,3.202,2.276,1.9609,3.082
2011-12-20,3.777,3.3411,2.81,3.8225,3.2,2.273,1.9591,3.08
2011-12-21,3.765,3.3335,2.7994,3.813,3.188,2.263,1.9529,3.068
2011-12-22,3.765,3.3331,2.7977,3.8167,3.181,2.263,1.9517,3.062
2011-12-23,3.769,3.3375,2.7974,3.8212,3.187,2.266,1.9543,3.066
2011-12-26,3.765,3.3303,2.7882,3.8111,3.18,2.255,1.9512,3.058
2011-12-27,3.755,3.3169,2.7774,3.7999,3.169,2.244,1.9463,3.041
2011-12-28,3.751,3.314,2.7707,3.7989,3.167,2.241,1.9467,3.039
2011-12-29,3.757,3.3176,2.7716,3.8014,3.168,2.245,1.9469,3.035
2011-12-30,3.767,3.3246,2.7837,3.8102,3.176,2.255,1.9498,3.045
2012-01-04,3.751,3.3113,2.7666,3.7919,3.161,2.238,1.9454,3.029
2012-01-05,3.731,3.2991,2.748,3.7788,3.148,2.228,1.9407,3.011
2012-01-06,3.728,3.3002,2.7414,3.7787,3.149,2.231,1.9411,3.012
2012-01-09,3.749,3.3152,2.7568,3.7969,3.165,2.246,1.9474,3.033
2012-01-10,3.772,3.3347,2.7732,3.8231,3.183,2.261,1.9509,3.056
2012-01-11,3.771,3.3315,2.7706,3.819,3.181,2.255,1.9505,3.055
2012-01-12,3.766,3.3313,2.7671,3.8176,3.181,2.256,1.9504,3.053
2012-01-13,3.746,3.3181,2.7499,3.8011,3.166,2.243,1.9454,3.033
2012-01-16,3.727,3.3006,2.7322,3.7807,3.147,2.222,1.9398,3.009
2012-01-17,3.757,3.3225,2.7499,3.8079,3.17,2.244,1.9503,3.04
2012-01-18,3.739,3.3093,2.7297,3.7956,3.158,2.227,1.9458,3.019
2012-01-19,3.747,3.3173,2.7382,3.808,3.165,2.24,1.9476,3.028
2012-01-20,3.757,3.3298,2.7513,3.8253,3.174,2.257,1.9511,3.045
2012-01-30,3.752,3.3232,2.7468,3.8138,3.171,2.243,1.9467,3.034
2012-01-31,3.75,3.324,2.7473,3.8138,3.172,2.245,1.9467,3.032
2012-02-01,3.746,3.3195,2.7443,3.8066,3.169,2.236,1.9447,3.027
2012-02-02,3.76,3.3293,2.7532,3.8194,3.177,2.251,1.9503,3.038
2012-02-03,3.769,3.3355,2.76,3.8255,3.183,2.255,1.9514,3.045
2012-02-06,3.771,3.3394,2.7651,3.8282,3.186,2.253,1.9527,3.048
2012-02-07,3.759,3.3296,2.7565,3.8155,3.178,2.241,1.9486,3.038
2012-02-08,3.774,3.3426,2.7656,3.8319,3.189,2.257,1.9564,3.055
2012-02-09,3.775,3.3448,2.7672,3.836,3.191,2.256,1.9562,3.056
2012-02-10,3.777,3.3453,2.7676,3.8379,3.193,2.258,1.9565,3.061
2012-02-13,3.783,3.3468,2.7716,3.8402,3.195,2.257,1.9573,3.065
2012-02-14,3.782,3.3453,2.7723,3.8395,3.193,2.255,1.957,3.064
2012-02-15,3.791,3.3509,2.776,3.8462,3.199,2.259,1.9607,3.073
2012-02-16,3.787,3.3478,2.7749,3.8403,3.196,2.254,1.9603,3.071
2012-02-17,3.786,3.3466,2.7736,3.8394,3.195,2.254,1.9589,3.071
2012-02-20,3.787,3.3472,2.7759,3.8383,3.198,2.255,1.9596,3.071
2012-02-21,3.795,3.3527,2.7782,3.8432,3.206,2.262,1.9623,3.079
2012-02-22,3.809,3.3627,2.7851,3.8547,3.218,2.271,1.9676,3.092
2012-02-23,3.81,3.3652,2.7866,3.8564,3.219,2.272,1.9678,3.094
2012-02-24,3.82,3.374,2.7935,3.8679,3.227,2.285,1.9715,3.104
2012-02-27,3.82,3.3744,2.795,3.8716,3.225,2.286,1.9709,3.109
2012-02-28,3.815,3.374,2.7962,3.8733,3.223,2.287,1.9711,3.11
2012-02-29,3.806,3.3698,2.7888,3.8663,3.217,2.28,1.9653,3.103
2012-03-01,3.807,3.3699,2.7868,3.865,3.218,2.279,1.9661,3.104
2012-03-02,3.823,3.3788,2.796,3.8768,3.229,2.293,1.9729,3.117
2012-03-05,3.824,3.3767,2.7902,3.8681,3.229,2.285,1.9706,3.118
2012-03-06,3.812,3.3666,2.7843,3.8541,3.224,2.276,1.9665,3.109
2012-03-07,3.812,3.3621,2.7841,3.8547,3.22,2.274,1.9648,3.108
2012-03-08,3.819,3.3681,2.7903,3.8616,3.226,2.282,1.9697,3.114
2012-03-09,3.83,3.3763,2.7952,3.8742,3.235,2.29,1.9737,3.122
2012-03-12,3.83,3.3757,2.7973,3.8748,3.234,2.285,1.9754,3.124
2012-03-13,3.836,3.3807,2.8011,3.8813,3.241,2.293,1.9789,3.131
2012-03-14,3.812,3.3629,2.7871,3.8591,3.221,2.27,1.9676,3.11
2012-03-15,3.81,3.3602,2.7888,3.8563,3.218,2.267,1.966,3.108
2012-03-16,3.821,3.372,2.7994,3.8717,3.232,2.284,1.9731,3.121
2012-03-19,3.825,3.3735,2.799,3.8705,3.235,2.28,1.9772,3.126
2012-03-20,3.809,3.3635,2.7894,3.856,3.225,2.267,1.9693,3.11
2012-03-21,3.805,3.3627,2.7857,3.8534,3.224,2.261,1.969,3.108
2012-03-22,3.806,3.362,2.7845,3.8545,3.222,2.26,1.968,3.104
2012-03-23,3.796,3.355,2.78,3.8488,3.213,2.253,1.9617,3.093
2012-03-26,3.796,3.3588,2.784,3.852,3.213,2.256,1.9621,3.095
2012-03-27,3.794,3.3526,2.7789,3.8465,3.207,2.25,1.9622,3.093
2012-03-28,3.773,3.3372,2.7681,3.8281,3.191,2.236,1.9518,3.074
2012-03-29,3.762,3.3313,2.7671,3.8205,3.185,2.236,1.9484,3.069
2012-03-30,3.765,3.3335,2.7693,3.8195,3.186,2.242,1.9488,3.072
2012-04-05,3.78,3.3514,2.7779,3.8407,3.202,2.261,1.9581,3.087
2012-04-06,3.784,3.3526,2.7793,3.846,3.205,2.263,1.9581,3.087
2012-04-09,3.778,3.35,2.7743,3.839,3.2,2.257,1.9539,3.08
2012-04-10,3.785,3.3544,2.7777,3.844,3.204,2.263,1.956,3.085
2012-04-11,3.785,3.3547,2.776,3.8476,3.207,2.265,1.9578,3.085
2012-04-12,3.797,3.364,2.7838,3.8629,3.217,2.279,1.9634,3.094
2012-04-13,3.799,3.3657,2.7854,3.8653,3.219,2.281,1.9643,3.099
2012-04-16,3.798,3.3637,2.7855,3.8638,3.218,2.282,1.9641,3.1
2012-04-17,3.789,3.354,2.781,3.853,3.211,2.27,1.9605,3.091
2012-04-18,3.803,3.3686,2.789,3.867,3.222,2.284,1.9665,3.107
2012-04-19,3.799,3.3672,2.788,3.8657,3.219,2.282,1.9662,3.104
2012-04-20,3.802,3.3721,2.7921,3.87,3.222,2.289,1.97,3.111
2012-04-23,3.788,3.3704,2.788,3.8646,3.211,2.28,1.9685,3.104
2012-04-24,3.788,3.369,2.7878,3.8631,3.207,2.279,1.9675,3.102
2012-04-25,3.791,3.3736,2.7917,3.8668,3.211,2.282,1.9713,3.103
2012-04-26,3.789,3.3731,2.7909,3.8665,3.213,2.28,1.9704,3.106
2012-04-27,3.789,3.3718,2.7913,3.8655,3.214,2.277,1.97,3.102
2012-05-02,3.802,3.3842,2.8021,3.8785,3.221,2.294,1.9763,3.111
2012-05-03,3.806,3.3882,2.8043,3.8812,3.225,2.297,1.9783,3.115
2012-05-04,3.813,3.3948,2.81,3.8912,3.232,2.302,1.9819,3.123
2012-05-07,3.821,3.3948,2.8112,3.8956,3.235,2.304,1.9824,3.127
2012-05-08,3.817,3.3921,2.8089,3.8923,3.233,2.3,1.9803,3.125
2012-05-09,3.804,3.3797,2.8,3.8796,3.224,2.287,1.973,3.112
2012-05-10,3.808,3.3797,2.8021,3.8776,3.224,2.287,1.9743,3.112
2012-05-11,3.801,3.3766,2.7991,3.8729,3.219,2.283,1.9726,3.108
2012-05-14,3.799,3.3717,2.7992,3.8682,3.216,2.279,1.9704,3.105
2012-05-15,3.798,3.3734,2.803,3.8707,3.219,2.285,1.9711,3.11
2012-05-16,3.788,3.3627,2.7945,3.8557,3.209,2.273,1.9662,3.097
2012-05-17,3.795,3.3709,2.8003,3.8619,3.218,2.285,1.9708,3.107
2012-05-18,3.785,3.3621,2.7914,3.8511,3.208,2.273,1.9659,3.097
2012-05-21,3.785,3.3656,2.7944,3.8573,3.211,2.276,1.9689,3.096
2012-05-22,3.793,3.3776,2.8044,3.8723,3.222,2.291,1.9737,3.106
2012-05-23,3.79,3.3756,2.8024,3.8715,3.222,2.291,1.9734,3.104
2012-05-24,3.786,3.3698,2.7984,3.8584,3.214,2.283,1.9704,3.098
2012-05-25,3.779,3.3638,2.7936,3.8504,3.207,2.275,1.9675,3.091
2012-05-28,3.79,3.3767,2.8019,3.8668,3.213,2.288,1.972,3.098
2012-05-29,3.806,3.3844,2.8073,3.8751,3.222,2.299,1.9776,3.109
2012-05-30,3.807,3.3829,2.8074,3.8737,3.224,2.299,1.9774,3.107
2012-05-31,3.806,3.3821,2.8052,3.8793,3.228,2.298,1.9764,3.109
2012-06-01,3.805,3.3824,2.8064,3.8822,3.228,2.297,1.9769,3.111
2012-06-04,3.787,3.3659,2.7937,3.8642,3.214,2.277,1.9686,3.091
2012-06-05,3.785,3.3648,2.7961,3.8663,3.213,2.277,1.9681,3.089
2012-06-06,3.785,3.3605,2.7942,3.8618,3.211,2.276,1.9662,3.088
2012-06-07,3.779,3.3603,2.7935,3.8591,3.208,2.273,1.9647,3.083
2012-06-08,3.775,3.3591,2.7932,3.8543,3.205,2.269,1.9654,3.081
2012-06-11,3.789,3.3685,2.8031,3.8643,3.217,2.282,1.972,3.092
2012-06-12,3.788,3.3665,2.8082,3.8644,3.215,2.282,1.9712,3.092
2012-06-13,3.799,3.3764,2.8198,3.8788,3.225,2.299,1.9786,3.109
